R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO.TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO.TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women.s.Flyweight_rank,R_Women.s.Featherweight_rank,R_Women.s.Strawweight_rank,R_Women.s.Bantamweight_rank,R_Heavyweight_rank,R_Light.Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound.for.Pound_rank,B_Women.s.Flyweight_rank,B_Women.s.Featherweight_rank,B_Women.s.Strawweight_rank,B_Women.s.Bantamweight_rank,B_Heavyweight_rank,B_Light.Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound.for.Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds,latitude,longitude
Court McGee,Dongi Yang,-174.0,164,57.47126437,164.0,2011-09-17,"New Orleans, Louisiana, USA", USA,Red,False,Middleweight,MALE,3,0,1,0,54.0,0.66,1.0,2.0,0.8,1,1,5,0,0,0,0,1,0,0,1,Southpaw,177.8,180.34,185,0,2,0,41.0,0.365,1.0,3.5,0.605,2,0,5,1,0,0,0,0,2,0,2,Orthodox,180.34,190.5,170,26,26,0,-1,-1,-1,-1,0,-1,1,-2,-2.54,-10.16,0,13.0,0.0,-1.5,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,U-DEC,,3.0,5:00,900.0,,,,,,,29.9759983,-90.0782127
Jonathan Brookins,Erik Koch,185.0,-200,185.0,50.0,2011-09-17,"New Orleans, Louisiana, USA", USA,Blue,False,Featherweight,MALE,3,0,1,0,4.0,0.22,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Southpaw,177.8,180.34,155,0,1,0,32.0,0.47,0.0,3.0,0.23,1,0,3,1,0,0,1,0,0,0,1,Southpaw,182.88,185.42,145,26,22,0,0,0,0,0,-2,-1,1,0,-5.08,-5.08,4,-28.0,0.0,-3.0,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,U-DEC,,3.0,5:00,900.0,,,,,,,29.9759983,-90.0782127
Alan Belcher,Jason MacDonald,-290.0,260,34.48275862,260.0,2011-09-17,"New Orleans, Louisiana, USA", USA,Red,False,Middleweight,MALE,3,0,1,0,10.58333333,0.5575,0.916666667,0.666666667,0.193333333,2,6,21,0,0,0,0,2,4,0,6,Orthodox,190.5,203.2,185,0,2,0,26.54545455,0.396363636,0.454545455,0.363636364,0.24,2,4,23,0,0,1,0,2,3,1,7,Orthodox,187.96,185.42,185,27,36,0,-1,0,-1,-2,-2,0,-1,1,2.54,17.78,-9,-15.96212122,0.462121212,0.303030303,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,KO/TKO,Punches,1.0,3:48,228.0,,,,,,,29.9759983,-90.0782127
Cody McKenzie,Vagner Rocha,170.0,-185,170.0,54.05405405,2011-09-17,"New Orleans, Louisiana, USA", USA,Blue,False,Lightweight,MALE,3,1,0,0,46.0,0.43,0.0,1.0,0.14,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,155,1,0,0,8.0,0.11,1.0,1.5,0.61,1,1,3,0,0,0,0,0,1,0,1,Switch,182.88,182.88,155,23,29,0,0,-1,-1,0,0,0,0,-1,-5.08,2.54,-6,38.0,-1.0,-0.5,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,SUB,Rear Naked Choke,2.0,3:49,529.0,,,,,,,29.9759983,-90.0782127
Evan Dunham,Shamar Bailey,-415.0,370,24.09638554,370.0,2011-09-17,"New Orleans, Louisiana, USA", USA,Red,False,Lightweight,MALE,3,0,1,0,33.0,0.47,0.0,5.0,0.55,1,0,3,0,0,0,1,0,0,0,1,Southpaw,175.26,190.5,155,2,0,0,33.0,0.356666667,1.666666667,1.333333333,0.401666667,4,2,14,0,0,2,0,1,1,0,4,Southpaw,177.8,177.8,155,29,28,2,1,-3,-3,2,-11,0,-1,-1,-2.54,12.7,1,0.0,-1.666666667,3.666666667,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,U-DEC,,3.0,5:00,900.0,,,,,,,29.9759983,-90.0782127
Matthew Riddle,Lance Benoist,-210.0,175,47.61904762,175.0,2011-09-17,"New Orleans, Louisiana, USA", USA,Blue,False,Welterweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,180.34,185.42,170,1,0,0,43.85714286,0.53,0.714285714,3.142857143,0.488571429,3,2,20,0,0,0,3,1,0,0,5,Southpaw,185.42,187.96,170,25,23,1,0,-3,-5,2,-20,0,-1,0,-5.08,-2.54,2,-43.85714286,-0.714285714,-3.142857143,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,U-DEC,,3.0,5:00,900.0,,,,,,,29.9759983,-90.0782127
Ken Stone,Donny Walker,-165.0,155,60.60606061,155.0,2011-09-17,"New Orleans, Louisiana, USA", USA,Red,False,Bantamweight,MALE,3,1,0,0,31.0,0.37,2.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,180.0,135,1,0,0,18.0,0.42,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,135,28,31,0,0,0,0,0,2,0,0,0,2.54,-0.34,-3,13.0,2.0,0.0,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,SUB,Rear Naked Choke,1.0,2:40,160.0,,,,,,,29.9759983,-90.0782127
Clay Harvison,Seth Baczynski,140.0,-150,140.0,66.66666667,2011-09-17,"New Orleans, Louisiana, USA", USA,Blue,False,Welterweight,MALE,3,1,0,0,22.0,0.5,3.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,190.5,187.96,170,0,1,0,57.0,0.52,2.0,1.0,1.0,1,0,3,0,0,1,0,0,0,0,1,Orthodox,185.42,187.96,170,30,29,-1,-1,-1,-1,-1,0,0,0,0,5.08,0.0,1,-35.0,1.0,-1.0,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,SUB,Rear Naked Choke,2.0,1:12,372.0,,,,,,,29.9759983,-90.0782127
TJ Waldburger,Mike Stumpf,-230.0,210,43.47826087,210.0,2011-09-17,"New Orleans, Louisiana, USA", USA,Red,False,Welterweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,170,1,0,0,20.0,0.48,3.5,3.0,0.425,1,1,4,0,0,0,1,0,0,0,1,Orthodox,180.34,190.5,170,23,25,1,0,-1,-1,1,-4,0,0,0,-2.54,-10.16,-2,-20.0,-3.5,-3.0,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,SUB,Triangle Choke,1.0,3:52,232.0,,,,,,,29.9759983,-90.0782127
Robert Peralta,Mike Lullo,-130.0,120,76.92307692,120.0,2011-09-17,"New Orleans, Louisiana, USA", USA,Red,False,Featherweight,MALE,3,1,0,0,12.0,0.26,1.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,172.72,178.0,145,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,145,25,32,-1,0,0,0,-1,3,0,0,0,0.0,-2.34,-7,12.0,1.0,0.0,0,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,U-DEC,,3.0,5:00,900.0,,,,,,,29.9759983,-90.0782127
