R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO.TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO.TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women.s.Flyweight_rank,R_Women.s.Featherweight_rank,R_Women.s.Strawweight_rank,R_Women.s.Bantamweight_rank,R_Heavyweight_rank,R_Light.Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound.for.Pound_rank,B_Women.s.Flyweight_rank,B_Women.s.Featherweight_rank,B_Women.s.Strawweight_rank,B_Women.s.Bantamweight_rank,B_Heavyweight_rank,B_Light.Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound.for.Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds,latitude,longitude
Thiago Santos,Johnny Walker,-150.0,130,66.6666666666667,130.0,2021-10-02,"Las Vegas, Nevada, USA",USA,Red,False,Light Heavyweight,MALE,5,0,1,0,3.42,0.59,0.7,0.24,1.0,4,2,11,0,0,0,1,4,0,0,5,Orthodox,198.12,208.28,205,3,0,0,3.95,0.48,0.1,0.61,0.36,4,8,43,1,0,0,2,11,0,0,13,Orthodox,187.96,193.04,205,37,29,-3,1,0,-8,-6,-32,-1,-7,0,10.16,15.24,-8,-0.53,0.6,-0.37,1,1,10,5,unRanked,unRanked,unRanked,unRanked,unRanked,5,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,10,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,Red,U-DEC,,5.0,5:00,1500.0,800.0,900.0,2000.0,1600.0,-110.0,175.0,36.1672559,-115.148516
Alex Oliveira,Niko Price,170.0,-200,170.0,50.0,2021-10-02,"Las Vegas, Nevada, USA",USA,Blue,False,Welterweight,MALE,3,2,0,0,5.16,0.42,0.8,0.79,0.22,2,5,24,0,0,0,0,4,2,0,6,Orthodox,182.88,193.04,170,2,0,0,2.97,0.51,0.5,2.27,0.37,4,8,44,0,0,1,3,4,3,0,11,Orthodox,180.34,193.04,170,33,32,0,0,-2,-5,-3,-20,0,0,-1,2.53999999999999,0.0,-1,2.19,0.3,-1.48,1,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,U-DEC,,3.0,5:00,900.0,450.0,350.0,700.0,1100.0,550.0,120.0,36.1672559,-115.148516
Misha Cirkunov,Krzysztof Jotko,110.0,-130,110.0,76.9230769230769,2021-10-02,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,1,0,0,2.92,0.41,0.1,1.15,0.34,5,5,38,0,0,2,6,1,0,0,9,Southpaw,185.42,195.58,185,1,0,0,3.77,0.49,1.7,4.48,0.44,4,4,13,0,0,0,0,1,5,0,6,Orthodox,190.5,195.58,205,34,32,0,0,1,3,1,25,0,0,-5,-5.07999999999998,0.0,-2,-0.85,-1.6,-3.33,1,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,13,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,S-DEC,,3.0,5:00,900.0,550.0,275.0,275.0,1400.0,600.0,185.0,36.1672559,-115.148516
Alexander Hernandez,Mike Breeden,-675.0,475,14.8148148148148,475.0,2021-10-02,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,1,0,0,4.04,0.34,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,155,1,0,0,3.79,0.36,0.0,1.57,0.35,2,3,15,0,0,0,2,2,0,0,4,Orthodox,175.26,182.88,155,29,32,0,0,-2,-4,-2,-12,0,-2,0,2.54000000000002,-5.07999999999998,3,0.25,0.0,-1.57,1,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,KO/TKO,Punch,1.0,1:20,80.0,175.0,900.0,500.0,3500.0,110.0,1100.0,36.1672559,-115.148516
Joe Solecki,Jared Gordon,-135.0,115,74.0740740740741,115.0,2021-10-02,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,2,0,5.22,0.56,0.0,2.54,0.39,2,3,19,0,0,0,4,1,0,0,5,Orthodox,175.26,172.72,145,0,4,0,2.64,0.62,0.6,2.85,0.52,4,0,8,0,0,0,2,0,2,0,4,Orthodox,175.26,177.8,155,28,33,0,-2,-2,1,3,11,0,1,-2,0.0,-5.08000000000001,5,2.58,-0.6,-0.31,1,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,S-DEC,,3.0,5:00,900.0,165.0,200.0,400.0,1200.0,900.0,600.0,36.1672559,-115.148516
Antonina Shevchenko,Casey O'Neill,215.0,-265,215.0,37.7358490566038,2021-10-02,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Flyweight,FEMALE,3,0,2,0,5.48,0.56,1.4,3.83,0.5,2,0,5,0,0,0,0,1,1,0,2,Orthodox,167.64,175.26,125,1,0,0,3.89,0.56,0.5,0.51,0.5,2,3,17,0,0,0,1,2,1,0,4,Southpaw,172.72,170.18,125,36,23,-1,2,0,-2,-3,-12,0,-1,0,-5.07999999999998,5.07999999999998,-13,1.59,0.9,3.32,1,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,KO/TKO,Punches,2.0,4:47,587.0,300.0,200.0,1600.0,330.0,1000.0,300.0,36.1672559,-115.148516
Bethe Correia,Karol Rosa,500.0,-720,500.0,13.8888888888889,2021-10-02,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Bantamweight,FEMALE,3,0,3,0,7.88,0.54,0.0,1.5,0.5,3,0,9,0,0,1,2,0,0,0,3,Orthodox,165.1,170.18,135,1,0,1,4.37,0.43,0.0,0.39,0.18,3,5,30,1,0,2,2,1,0,0,5,Orthodox,165.1,162.56,135,38,26,-1,3,0,-2,-5,-21,-1,-1,0,0.0,7.62,-12,3.51,0.0,1.11,1,1,15,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,15,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,Blue,U-DEC,,3.0,5:00,900.0,700.0,-200.0,2500.0,600.0,1600.0,400.0,36.1672559,-115.148516
Devonte Smith,Jamie Mullarkey,-155.0,135,64.5161290322581,135.0,2021-10-02,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,1,0,3.03,0.4,0.4,3.5,0.32,1,2,7,0,0,0,0,1,0,0,1,Orthodox,182.88,187.96,155,0,1,0,5.1,0.52,0.5,0.53,1.0,3,1,6,0,0,0,0,4,0,0,4,Orthodox,175.26,193.04,155,28,27,0,0,-2,-3,1,1,0,-3,0,7.62,-5.07999999999998,-1,-2.07,-0.0999999999999999,2.97,1,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,KO/TKO,Punches,2.0,2:51,471.0,330.0,450.0,2000.0,900.0,140.0,330.0,36.1672559,-115.148516
Douglas Silva de Andrade,Gaetano Pirrello,-280.0,225,35.7142857142857,225.0,2021-10-02,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,1,0,0,0.99,0.55,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,135,1,0,0,3.79,0.38,0.0,0.69,0.5,2,4,22,0,0,0,3,1,0,0,4,Orthodox,170.18,172.72,145,36,29,0,0,-2,-4,-3,-20,0,-1,0,0.0,-7.62,-7,-2.8,0.0,-0.69,1,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,KO/TKO,Punch,1.0,2:04,124.0,165.0,450.0,1400.0,2000.0,150.0,600.0,36.1672559,-115.148516
Stephanie Egger,Shanna Young,-155.0,135,64.5161290322581,135.0,2021-10-02,"Las Vegas, Nevada, USA",USA,Red,False,Women's Bantamweight,FEMALE,3,2,0,0,3.04,0.53,1.0,0.0,0.0,0,2,5,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,135,1,0,0,1.74,0.52,0.0,2.01,0.3,0,1,3,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,135,33,30,1,0,0,0,1,2,0,0,0,2.53999999999999,-7.62,-3,1.3,1.0,-2.01,1,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,KO/TKO,Elbow,2.0,2:22,442.0,140.0,225.0,450.0,900.0,800.0,900.0,36.1672559,-115.148516
Alejandro Perez,Johnny Eduardo,-300.0,235,33.3333333333333,235.0,2021-10-02,"Las Vegas, Nevada, USA",USA,Red,False,Bantamweight,MALE,3,2,0,0,2.95,0.39,0.4,0.22,0.2,2,4,14,0,0,0,1,2,0,0,3,Orthodox,170.18,180.34,135,2,0,1,3.45,0.35,0.4,0.61,0.23,4,3,25,0,0,1,3,3,0,0,7,Orthodox,167.64,165.1,145,32,43,0,0,-2,-4,1,-11,0,-1,0,2.53999999999999,15.24,11,-0.5,0.0,-0.39,1,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,SUB,Armbar,2.0,4:13,553.0,250.0,600.0,650.0,900.0,130.0,550.0,36.1672559,-115.148516
Alexander Volkanovski,Brian Ortega,-180.0,155,55.5555555555556,155.0,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,True,Featherweight,MALE,5,0,1,0,4.15,0.38,1.2,0.87,0.24,6,1,25,1,0,0,1,3,3,0,7,Switch,172.72,175.26,145,0,9,0,6.42,0.56,0.3,1.77,0.34,9,0,28,2,0,1,5,3,0,0,9,Orthodox,167.64,180.34,145,32,30,0,-8,-3,-2,1,-3,-1,0,3,5.07999999999998,-5.08000000000001,-2,-2.27,0.9,-0.9,1,1,2,0,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,0,unRanked,unRanked,4,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,2,unRanked,unRanked,unRanked,Red,U-DEC,,5.0,5:00,1500.0,140.0,500.0,1600.0,400.0,250.0,700.0,36.1672559,-115.148516
Valentina Shevchenko,Lauren Murphy,-1375.0,800,7.27272727272727,800.0,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,True,Women's Flyweight,FEMALE,5,0,5,0,3.58,0.38,0.1,1.03,0.34,5,4,32,0,0,3,1,2,1,0,7,Orthodox,165.1,170.18,125,0,7,0,3.21,0.52,0.3,2.62,0.64,7,2,42,7,0,1,4,3,2,0,10,Southpaw,165.1,167.64,125,33,38,0,-2,-2,-3,2,-10,-7,-1,-1,0.0,2.53999999999999,5,0.37,-0.2,-1.59,1,1,3,0,0,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,2,3,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,13,Red,KO/TKO,Punches,4.0,4:00,1140.0,200.0,1800.0,350.0,2800.0,-110.0,2500.0,36.1672559,-115.148516
Nick Diaz,Robbie Lawler,140.0,-160,140.0,62.5,2021-09-25,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,4,0,0,3.73,0.46,0.0,0.66,0.64,5,14,91,5,0,3,4,12,0,0,19,Southpaw,180.34,187.96,170,2,0,0,5.71,0.42,1.0,1.28,0.32,11,7,70,2,0,1,2,10,6,0,19,Southpaw,185.42,193.04,170,38,39,2,0,-6,0,7,21,3,2,-6,-5.08000000000001,-5.07999999999998,1,-1.98,-1.0,-0.62,1,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,KO/TKO,Punch,3.0,0:44,644.0,275.0,225.0,800.0,2500.0,650.0,185.0,36.1672559,-115.148516
Curtis Blaydes,Jairzinho Rozenstruik,-380.0,290,26.3157894736842,290.0,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,3,0,1,0,2.8,0.46,0.0,0.0,0.0,4,2,18,0,0,0,0,6,0,0,6,Orthodox,187.96,198.12,242,1,0,0,3.44,0.51,0.0,6.27,0.53,5,3,32,0,0,0,4,5,0,0,9,Orthodox,193.04,203.2,265,30,33,-1,1,-1,-3,-1,-14,0,1,0,-5.07999999999998,-5.07999999999998,3,-0.64,0.0,-6.27,1,1,6,4,unRanked,unRanked,unRanked,unRanked,4,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,6,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,Red,U-DEC,,3.0,5:00,900.0,180.0,1000.0,1000.0,3500.0,125.0,380.0,36.1672559,-115.148516
Jessica Andrade,Cynthia Calvillo,-220.0,180,45.4545454545455,180.0,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,FEMALE,3,1,0,1,4.24,0.41,1.1,1.77,0.44,3,2,25,0,0,0,3,0,3,0,6,Orthodox,162.56,162.56,125,1,0,0,6.24,0.5,0.4,2.9,0.55,4,7,42,4,0,1,5,4,2,0,12,Orthodox,154.94,157.48,125,30,34,0,0,-1,-6,-5,-17,-4,-4,1,7.62,5.08000000000001,4,-2.0,0.7,-1.13,1,1,5,1,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,6,5,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,Red,KO/TKO,Punches,1.0,4:54,294.0,140.0,330.0,1000.0,900.0,225.0,1400.0,36.1672559,-115.148516
Marlon Moraes,Merab Dvalishvili,245.0,-310,245.0,32.258064516129,2021-09-25,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,3,0,6,0,4.26,0.41,0.3,7.3,0.45,6,2,24,0,0,0,6,0,0,0,6,Orthodox,167.64,172.72,135,2,0,0,3.34,0.4,0.4,0.89,0.41,4,4,18,1,0,2,0,2,1,0,5,Orthodox,167.64,170.18,135,33,30,-2,6,2,1,-2,6,-1,-2,-1,0.0,2.53999999999999,-3,0.92,-0.1,6.41,1,1,11,6,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,6,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,11,unRanked,unRanked,Red,KO/TKO,Punches,2.0,4:25,565.0,500.0,100.0,1200.0,550.0,600.0,400.0,36.1672559,-115.148516
Dan Hooker,Nasrat Haqparast,-150.0,130,66.6666666666667,130.0,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,2,0,5.19,0.46,0.0,0.16,0.14,3,2,18,0,0,0,4,1,0,0,5,Southpaw,177.8,182.88,155,2,0,0,4.95,0.48,0.2,0.91,0.36,4,6,38,0,0,1,1,6,2,0,10,Switch,182.88,190.5,155,31,26,-2,2,-1,-5,-4,-20,0,-5,-2,-5.07999999999998,-7.62,-5,0.24,-0.2,-0.75,1,1,unRanked,8,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,8,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,Red,U-DEC,,3.0,5:00,900.0,225.0,350.0,900.0,2200.0,225.0,350.0,36.1672559,-115.148516
Shamil Abdurakhimov,Chris Daukaus,180.0,-220,180.0,45.4545454545455,2021-09-25,"Las Vegas, Nevada, USA",USA,Blue,False,Heavyweight,MALE,3,0,3,0,9.03,0.53,0.0,0.0,0.0,3,0,3,0,0,0,0,3,0,0,3,Orthodox,190.5,193.04,250,1,0,0,2.53,0.43,0.2,1.14,0.24,3,3,19,0,0,1,2,2,0,0,5,Orthodox,190.5,193.04,235,40,32,-1,3,0,-2,-3,-16,0,1,0,0.0,0.0,-8,6.5,-0.2,-1.14,1,1,10,7,unRanked,unRanked,unRanked,unRanked,7,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,10,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,Red,KO/TKO,Punch,2.0,1:23,383.0,400.0,350.0,1800.0,1400.0,450.0,100.0,36.1672559,-115.148516
Roxanne Modafferi,Taila Santos,300.0,-400,300.0,25.0,2021-09-25,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Flyweight,FEMALE,3,0,2,0,3.55,0.5,0.8,2.6,0.86,2,1,12,0,0,0,3,0,0,0,3,Orthodox,167.64,172.72,125,1,0,0,2.97,0.3,0.1,1.3,0.21,1,8,35,1,0,1,2,1,0,0,4,Orthodox,170.18,175.26,125,39,28,-1,2,1,-1,-7,-23,-1,-1,0,-2.53999999999999,-2.53999999999999,-11,0.58,0.7,1.3,1,1,12,9,9,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,12,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,Red,U-DEC,,3.0,5:00,900.0,550.0,-165.0,1100.0,1100.0,2200.0,350.0,36.1672559,-115.148516
Uros Medic,Jalin Turner,-115.0,-105,86.9565217391304,95.2380952380952,2021-09-25,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,2,0,6.2,0.47,1.9,0.98,0.75,2,2,10,0,0,0,0,3,1,0,4,Southpaw,190.5,195.58,155,0,2,0,10.53,0.75,0.0,0.0,0.0,2,0,2,0,0,0,0,2,0,0,2,Southpaw,185.42,180.34,155,28,26,0,0,0,2,2,8,0,1,1,5.07999999999998,15.24,-2,-4.33,1.9,0.98,1,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,SUB,Rear Naked Choke,1.0,4:01,241.0,400.0,400.0,1200.0,700.0,165.0,300.0,36.1672559,-115.148516
Cody Brundage,Nick Maximov,125.0,-145,125.0,68.9655172413793,2021-09-25,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,0,1,0,1.7,0.49,0.0,3.0,0.3,1,0,3,0,0,0,1,0,0,0,1,Southpaw,182.88,193.04,185,1,0,0,2.7,0.61,0.9,0.86,0.25,0,1,1,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,185,27,23,-1,1,1,1,-1,2,0,0,0,0.0,10.16,-4,-1.0,-0.9,2.14,1,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,U-DEC,,3.0,5:00,900.0,350.0,300.0,500.0,250.0,400.0,500.0,36.1672559,-115.148516
Matthew Semelsberger,Martin Sano,-525.0,385,19.047619047619,385.0,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,0,0,4.0,0.33,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,190.5,170,1,0,0,6.16,0.48,0.5,0.98,1.0,2,1,7,0,0,0,1,1,0,0,2,Switch,185.42,190.5,170,28,30,-1,0,-2,-2,-1,-7,0,-1,0,-5.08000000000001,0.0,2,-2.16,-0.5,-0.98,1,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,KO/TKO,Punch,1.0,0:15,15.0,300.0,,500.0,,-135.0,,36.1672559,-115.148516
Jonathan Pearce,Omar Morales,140.0,-160,140.0,62.5,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,1,0,3.4,0.38,0.0,0.6,1.0,3,1,14,0,0,0,3,1,0,0,4,Orthodox,180.34,185.42,145,0,1,0,6.79,0.53,1.0,7.17,0.57,1,1,6,0,0,0,0,2,0,0,2,Switch,182.88,180.34,145,29,35,0,0,2,2,0,8,0,-1,0,-2.53999999999999,5.08000000000001,6,-3.39,-1.0,-6.57,1,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,SUB,Rear Naked Choke,2.0,3:31,511.0,330.0,165.0,1100.0,1100.0,400.0,330.0,36.1672559,-115.148516
Anthony Smith,Ryan Spann,-150.0,130,66.6666666666667,130.0,2021-09-18,"Las Vegas, Nevada, USA",USA,Red,False,Light Heavyweight,MALE,5,0,1,0,3.43,0.44,1.6,1.58,0.38,5,2,13,0,0,1,1,2,2,0,6,Orthodox,195.58,200.66,205,0,2,0,3.03,0.47,0.8,0.46,0.28,3,8,47,1,0,0,1,7,4,0,12,Orthodox,193.04,193.04,205,33,30,0,-1,2,-6,-6,-34,-1,-5,-2,2.54000000000002,7.62,-3,0.4,0.8,1.12,1,1,11,6,unRanked,unRanked,unRanked,unRanked,unRanked,6,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,11,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,Red,SUB,Rear Naked Choke,1.0,3:47,227.0,450.0,750.0,330.0,500.0,225.0,330.0,36.1672559,-115.148516
Ion Cutelaba,Devin Clark,-170.0,150,58.8235294117647,150.0,2021-09-18,"Las Vegas, Nevada, USA",USA,Red,False,Light Heavyweight,MALE,3,1,0,0,3.13,0.56,0.1,2.51,0.34,2,5,25,0,0,0,6,0,0,0,6,Orthodox,182.88,190.5,205,2,0,1,4.91,0.42,0.0,4.39,0.6,2,5,19,0,0,0,1,3,0,0,4,Southpaw,185.42,190.5,205,27,31,-1,0,0,2,0,6,0,-3,0,-2.54000000000002,0.0,4,-1.78,0.1,-1.88,1,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,U-DEC,,3.0,5:00,900.0,600.0,250.0,1800.0,1400.0,-110.0,650.0,36.1672559,-115.148516
Ariane Lipski,Mandy Bohm,-125.0,105,80.0,105.0,2021-09-18,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,FEMALE,3,0,0,0,2.4,0.33,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,180.34,125,2,0,0,3.33,0.36,0.4,0.19,0.2,2,4,14,0,0,0,1,0,1,0,2,Orthodox,167.64,170.18,125,27,32,-2,0,-2,-2,-4,-14,0,0,-1,2.53999999999999,10.16,5,-0.93,-0.4,-0.19,1,1,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,unRanked,neither,U-DEC,,3.0,5:00,900.0,215.0,180.0,500.0,1100.0,400.0,800.0,36.1672559,-115.148516
